username,handle,full_text,time,cleaned_tweet,translated_tweet,textblob_sentiment
"Nn_Chen
@noyexol
·
Feb 3, 2023",,Emang pencinta indomie keknya dia  #exo #manager #indomie,2023-02-03T07:12:11.000Z,emang pencinta indomie keknya exo manager indomie,"I really love Indomie, like exo manager Indomie",positive
"Mai Kumala | Collabs 70/100
@MaiKumalaCh
·
Feb 6, 2023",,"MaiHoney~ jangan lupa mamam yah 

Aku mamam menu spesial 
@Indomielovers
 yaitu Mie Goreng topping Omelette Mie

#MaiKanan #Indomie",2023-02-06T09:19:10.000Z,maihoney lupa mamam yah mamam menu spesial indomielovers mie goreng topping omelette mie maikanan indomie,maihoney forgot mamam yah mamam special menu indomielovers fried noodles topping omelette noodles maikanan indomie,positive
"Persija Jakarta
@Persija_Jkt
·
Apr 9, 2023",,"Tekad untuk akhiri musim dengan catatan positif, siap kembali raih kemenangan!
Hadapi Dewa United, Persija unggul 3-2 di pertemuan pertama lalu. Semoga tiga poin kembali menjadi milik Persija di laga ini.

Nonton Persija berlaga jadi makin semangat bareng Indomie Goreng. #Indomie",2023-04-09T10:10:34.000Z,tekad musim catatan positif raih kemenangan hadapi dewa united persija unggul 3 2 pertemuan semoga poin milik persija laga nonton persija berlaga semangat bareng indomie goreng indomie,"Determination for the season, positive record, achieve victory against Dewa United, Persija wins 3 2 meetings, hopefully the points belong to Persija, watching Persija compete enthusiastically with Indomie Goreng Indomie",positive
"Hasto Suprayogo
@HastoSuprayogo
·
Apr 27, 2023",,"Nah! Karena kelamaan ga ditanggapi serius, sekarang kabar tentang temuan zat berbahay penyebab kanker di produk #Indomie masuk ke media internasional.

#Indofood bakal mulai merasakan efek bisnis dari pengacuhan krisis kepercayaan publik ini.",2023-04-27T11:25:54.000Z,ga ditanggapi serius kabar temuan zat berbahay penyebab kanker produk indomie masuk medium internasional indofood merasakan efek bisnis pengacuhan krisis kepercayaan publik,not taken seriously news of discovery of dangerous substances that cause cancer Indomie products enter international media Indofood feels business effects of ignoring crisis of public trust,negative
"Emmar!
@mrnadn
·
Oct 9, 2022",,"Rasanyaaa.... Sama aja kayak Indomie goreng rendang. Beda di size mie nya aja, mirip mie goreng Aceh yg gendud mienya. Kenapa pake embel2 kebab? Ya karena saran penyajiannya kudu digulung2 kyk kebab #indomie",2022-10-09T15:04:51.000Z,rasanyaaa aja kayak indomie goreng rendang beda size mie nya aja mie goreng aceh yg gendud mienya pake embel2 kebab ya saran penyajiannya kudu digulung2 kyk kebab indomie,"It just tastes like Indomie fried rendang, the difference is in the size of the noodles, the Acehnese fried noodles are fat, the noodles have kebab frills, so the suggestion is to serve it, you have to roll it up like an Indomie kebab.",neutral
username,handle,content,time,content,content,neutral
"Meme Comic Indonesia
@memecomicrageID
·
Aug 9, 2022",,Kabar buruk buat anak kos #indomie #meme #memecomicindo,2022-08-09T01:32:36.000Z,kabar buruk anak ko indomie meme memecomicindo,bad news kid ko indomie meme memecomicindo,negative
"@CyCyreneDel
·
Nov 22, 2022",,mari kita coba indomie rasa ini #Indomie,2022-11-22T11:57:03.000Z,mari coba indomie indomie,let's try Indomie Indomie,neutral
"الرحمن
@ramenow
·
Aug 14, 2022",,"Pondasihh brohh!!

#Indomie #CaffeLatte #Coffee #SahabatBlueSky #BlueskyloungeID #BlueskyGroup #APTPranoto #Lounge #AjiPangeranTumenggungPranoto #Samarinda #KalimantanTimur",2022-08-14T04:22:55.000Z,pondasihh brohh indomie caffelatte coffee sahabatbluesky blueskyloungeid blueskygroup aptpranoto lounge ajipangerantumenggungpranoto samarinda kalimantantimur,foundationhh brohh indomie caffe latte coffee friend bluesky blueskyloungeid blueskygroup apt pranoto lounge ajipangerantumenggungpranoto Samarinda Kalimantantimur,positive
"AY
@hiyouthh
·
Nov 20, 2022",,"Gimana deh ini, kan bumbunya acak acakan ga nyisa:( 
@indofood
 #indomie #indomiegoreng",2022-11-20T12:49:03.000Z,gimana deh bumbunya acak acakan ga nyisa indofood indomie indomiegoreng,How come the spices are random and there's no leftover Indofood Indomie Indomie Goreng?,negative
" White Snake 
@0whitesnake0
·
May 28, 2022",,Buat #indomie #rebus #kariayam sekalian nonton #whorulestheworld ,2022-05-27T19:05:23.000Z,indomie rebus kariayam nonton whorulestheworld,indomie stew chicken curry watch whorulestheworld,negative
"FabulousMommy
@FebryMeuthia
·
Feb 28, 2022",,"Review #indomie rasa Kaldu Udang. 

Verdict : Ok lah. 

Ini varian Indomie yang rasanya simple. Seperti rasa Kaldu Ayam. Di dalam bungkusnya juga cuma ada bumbu kaldu dan cabai bubuk. Rasanya ya rasa kaldu, ada hint dashi sedikit kalo susah carinya, bikin yang kaldu ayam aja",2022-02-28T00:38:22.000Z,review indomie kaldu udang verdict ok varian indomie simple kaldu ayam bungkusnya bumbu kaldu cabai bubuk ya kaldu hint dashi kalo susah carinya bikin kaldu ayam aja,review of Indomie shrimp broth verdict ok Indomie variant simple chicken broth packed with powdered chili broth seasoning yes broth hint dashi if it's hard to find it just make chicken broth,negative
username,handle,content,time,content,content,neutral
"Arema FC
@AremafcOfficial
·
Jun 18, 2022",,"LUAR BIASA! Terima kasih atas antusiasme Aremania untuk dukung Singo Edan secara langsung di stadion pada Piala Presiden kali ini.

Terus semangat dukung Arema FC bareng Indomie!

#IndofoodxAremaFC #Indomie #AremaFC #SingoEdan #SalamSatuJiwa #Aremania #RasanyaPopMarkopop",2022-06-18T11:39:10.000Z,terima kasih antusiasme aremania dukung singo edan langsung stadion piala presiden kali semangat dukung arema fc bareng indomie indofoodxaremafc indomie aremafc singoedan salamsatujiwa aremania rasanyapopmarkopop,"Thank you, enthusiasm, Aremania, supporting Singo Crazy directly, President's Cup Stadium, this time, enthusiasm for supporting Arema FC with Indomie Indofood",positive
"Bayu Wicaksono
@KataMasBayu
·
May 10, 2022",,Kenapa harus laper jam segini wahai perut.. #indomie,2022-05-09T16:29:46.000Z,laper jam segini perut indomie,Indomie's stomach is hungry at this hour,neutral
"Arema FC
@AremafcOfficial
·
Jun 29, 2022",,"Sambil siapin dukungan buat Singo Edan besok Sabtu, admin mau share nih info paling ngepop! Aremania udah pada nyobain belum varian rasa yang terbaru dari Indomie yaitu Indomie Goreng rasa Ayam Pop?

Terus semangat dukung Arema FC bareng Indomie ya!

#IndofoodxAremaFC #Indomie",2022-06-29T11:22:10.000Z,siapin dukungan singo edan besok sabtu admin share nih info ngepop aremania udah nyobain varian terbaru indomie indomie goreng ayam pop semangat dukung arema fc bareng indomie ya indofoodxaremafc indomie,"prepare support for crazy singo tomorrow, Saturday, admin is sharing info about Aremania pop. Have you tried the latest variant of Indomie, Indomie Fried Chicken Pop, enthusiastic about supporting Arema FC with Indomie, Indofoodxaremafc Indomie",positive
"Haryo Aswicahyono
@Aswicahyono
·
Feb 8, 2022",,"Team gak diaduk garis keras
#indomie",2022-02-08T15:53:43.000Z,team gak diaduk gari kera indomie,The team was not stirred up by the Indomie monkeys,neutral
"iqbon
@iqbon
·
Oct 18, 2021",,#Indomie adalah pilihan saat kita tidak bisa memilih!,2021-10-18T12:32:55.000Z,indomie pilihan memilih,indomie choice choose,neutral
username,handle,content,time,content,content,neutral
"Arema FC
@AremafcOfficial
·
Oct 31, 2021",,"Saatnya kembali ke jalur kemenangan!

Nonton Arema FC dari rumah pastinya makin mantap ditemani Indomie goreng. Aroma dan rasa lezatnya pasti #SiapIsiSemangatmu!

Terus dukung Singo Edan bareng Indomie!

#IndofoodxAremaFC #Indomie #AremaFC #SingoEdan #SalamSatuJiwa #Aremania",2021-10-31T11:00:59.000Z,jalur kemenangan nonton arema fc rumah pastinya mantap ditemani indomie goreng aroma lezatnya siapisisemangatmu dukung singo edan bareng indomie indofoodxaremafc indomie aremafc singoedan salamsatujiwa aremania,"The winning path of watching Arema FC at home is definitely great accompanied by fried Indomie with a delicious aroma, ready to fill your enthusiasm, support Singo Crazy together, Indomie Indofoodxaremafc Indomie Aremafc Singoedan Salam Satujiwa Aremania",positive
"amborie (◕▿◕✿) // senyum
@stuberosuml
·
Oct 21, 2021",,Pls lewat tl orang2 yg lg begadang #emi #indomie,2021-10-20T16:52:37.000Z,pls tl orang2 yg lg begadang emi indomie,pls contact people who are staying up late emi indomie,negative
"Arema FC
@AremafcOfficial
·
Feb 4, 2022",,"Lanjutkan momentum positif! Hadapi Persija, Singo Edan bidik 3 poin demi terus berada di puncak klasemen.

Biar makin semangat dukung Arema FC, ikutan Tebak Skor yuk bareng Indomie. Selengkapnya di akun Instagram Arema FC.

#IndofoodxAremaFC #Indomie #AremaFC #SingoEdan",2022-02-04T13:15:05.000Z,lanjutkan momentum positif hadapi persija singo edan bidik 3 poin puncak klasemen biar semangat dukung arema fc ikutan tebak skor yuk bareng indomie selengkapnya akun instagram arema fc indofoodxaremafc indomie aremafc singoedan,Continue the positive momentum facing Persija Singo Crazy and aim for 3 points at the top of the standings so that you are enthusiastic about supporting Arema FC. Let's join in guessing the score with Indomie. Complete Arema FC Instagram account Indofoodxaremafc Indomie Aremafc Singoedan,positive
"Ai HadiPranoto
@kaikahana
·
Nov 19, 2021",,"Bias kami ulang tahun tgl 22, salah satu kado dr kami adalah Indomie basket #SongHyeKyo #indomie 
@Indomielovers


Pic : cto",2021-11-19T04:50:25.000Z,bias ulang tgl 22 salah kado dr indomie basket songhyekyo indomie indomielovers pic cto,May be repeated on the 22nd Wrong gift from Indomie Basket Song Hye Kyo Indomie Indomielovers pic cto,negative
"Imansyah Lubis
@bapakranger
·
Feb 25, 2021",,"Bakmi Goreng Bulgogi dari Bakmi Mewah vs Mieghetti Rasa Bolognese dari Indomie...

Mana yang lebih enak?

#indomie #bakmimewah #migoreng #miegoreng #mieinstan #bakmigoreng #bulgogi #spaghetti #bolognese",2021-02-25T14:11:06.000Z,bakmi goreng bulgogi bakmi mewah v mieghetti bolognese indomie enak indomie bakmimewah migoreng miegoreng mieinstan bakmigoreng bulgogi spaghetti bolognese,fried noodles,neutral
"Wibrata
@Wibrata1
·
Jun 9, 2021",,Yg lain lagi rame #BTSMeal saya cuma makan #indomie,2021-06-09T12:30:06.000Z,yg rame btsmeal makan indomie,those who are busy with BTSmeal eat Indomie,positive
username,handle,content,time,content,content,neutral
"Arema FC
@AremafcOfficial
·
Jul 6, 2021",,"Aremania, kali ini admin bareng 
@Indomielovers
 mau share satu fakta yg #HypeAbis nih. siapa yang kenal dengan istilah ambipedal? 

#IndofoodxAremaFC #Indomie #AremaFC #SingoEdan #SalamSatuJiwa #Aremania",2021-07-06T11:08:16.000Z,aremania kali admin bareng indomielovers share fakta yg hypeabis nih kenal istilah ambipedal indofoodxaremafc indomie aremafc singoedan salamsatujiwa aremania,aremania times admin together with indomielovers share hype facts know the term ambipedal indofoodxaremafc indomie aremafc singoedan salamsatujiwa aremania,neutral
"Dede
@DedeATR
·
Apr 10, 2021",,"Baru nyobain Indomie yang rasa Spaghetti  Mayan juga rasanya, tapi sayang, rasa pedas nya terlalu berlebihan euy...  #MieGhetti #Indomie",2021-04-09T18:03:30.000Z,nyobain indomie spaghetti mayan sayang pedas nya euy mieghetti indomie,"Try Indomie Spaghetti Mayan, love how spicy it is, Indomie Mieghetti",positive
"Arupmet Namap
@Ebi_Kurai
·
Apr 6, 2021",,"Lembayung dikala itu, Indomie Seleraku~ 

#photooftheday #bandung #parisjvanjava #pasupati #grandiahotel #cihampelas #flyover #lembayung #senja #indomie #anime #backgroundanime #landscape #viewbandung #bandungkota #hotel #バンドン #ホテル #アニメスタイル #アニメ #景色",2021-04-06T06:23:20.000Z,lembayung dikala indomie seleraku photooftheday bandung parisjvanjava pasupati grandiahotel cihampelas flyover lembayung senja indomie anime backgroundanime landscape viewbandung bandungkota hotel,mauve dikala indomie my taste photooftheday bandung parisjvanjava pasupati grandiahotel cihampelas flyover mauve dusk indomie anime backgroundanime landscape viewbandung bandungkota hotel,neutral
"RitaOral
@eatchlavitsef
·
Apr 21, 2021",,Mie Goreng #indomie #indonesian,2021-04-21T11:07:31.000Z,mie goreng indomie indonesian,Indomie Indonesian fried noodles,neutral
"dila  kinda ia
@jaywovn
·
Dec 11, 2020",,"#INDOMIE : satu ga cukup, dua ga abis",2020-12-10T16:32:26.000Z,indomie ga ga abis,Indomie won't end,neutral
"Republika.co.id
@republikaonline
·
Jan 27, 2021",,"Kabar duka. Telah berpulang ke Rahmatullah, Ibu Nunuk Nuraini, penemu rasa Indomie pagi tadi, Rabu 27 Januari 2021. 

Mari kita doakan semoga almarhumah husnul khotimah 

Sumber twitter 
@lailadimyati


#minrol #kabarduka #indomie #mieinstan",2021-01-27T12:30:18.000Z,kabar duka berpulang rahmatullah nunuk nuraini penemu indomie pagi rabu 27 januari 2021 mari doakan semoga almarhumah husnul khotimah sumber twitter lailadimyati minrol kabarduka indomie mieinstan,"Sad news of the passing of Rahmatullah Nunuk Nuraini, founder of Indomie. Morning Wednesday 27 January 2021. Let's pray for the late Husnul Khotimah. Source Twitter Lailadimyati Minrol Kabarduka Indomie Mieinstan",negative
username,handle,content,time,content,content,neutral
"サンジュウサン男神
@RochmatJuni
·
Dec 18, 2020",,"Bangkit Melawan Corona ! 
@S1H_Slemania
 

#muralcompetitionslemania 
#slemania20th 
#roadtoanniversaryslemania 
#bangkitmelawanpandemi 
#salamsatuhati 
#IndofoodXSlemania 
#PSSleman 
#RumahIndofood
#Indomie 
#Indomilk",2020-12-18T11:10:30.000Z,bangkit melawan corona s1h slemania muralcompetitionslemania slemania20th roadtoanniversaryslemania bangkitmelawanpandemi salamsatuhati indofoodxslemania pssleman rumahindofood indomie indomilk,rise against corona s1h slemania muralcompetitionslemania slemania20th roadtoanniversaryslemania riseagainstpandemic greetingssatuhati indofoodxslemania pssleman rumahindofood indomie indomilk,neutral
"IG: @gen987fm
@gen987fm
·
Jan 28, 2021",,"Telah berpulang ibu Hj. Nunuk Nuraini, peracik bumbu Indomie

Kami semua berterimakash atas karyamu selama ini, yang membahagiakan meski di saat paling sulit sekalipun

Selamat jalan bu Nunuk, jasamu tak akan kami lupakan, di hati dan di lidah 

#indomie",2021-01-28T02:16:14.000Z,berpulang hj nunuk nuraini peracik bumbu indomie berterimakash karyamu membahagiakan sulit selamat jalan bu nunuk jasamu lupakan hati lidah indomie,"pass away Hj Nunuk Nuraini, Indomie spice maker, thank you for your work, it's hard, good luck, Miss Nunuk, your service, forget your heart, Indomie tongue.",positive
"pann
@tauuufann
·
Jan 30, 2021",,"Rasa baru nih kayanya dari indomie tercinta.

#indomie",2021-01-30T06:20:27.000Z,nih kayanya indomie tercinta indomie,This is what Indomie's beloved Indomie looks like,positive
"The Lonely Ranger
@edelweisbasah
·
Jan 28, 2021",,Indomie campur kornet buat anak Gunung hukumnya sahih. Terima kasih #Indomie dan ibu Nunuk.,2021-01-28T07:34:19.000Z,indomie campur kornet anak gunung hukumnya sahih terima kasih indomie nunuk,"Indomie mixed with corned beef from the mountain is legally valid, thank you Indomie Nunuk",positive
"LBP
@lazione_budy
·
Aug 20, 2020",,Karawang gerimis. Kode #indomie,2020-08-20T10:57:56.000Z,karawang gerimis kode indomie,Karawang drizzles Indomie code,neutral
"Gava
@eka_Febrianz
·
Jul 11, 2020",,#indomie Rasa 4G,2020-07-11T09:57:34.000Z,indomie 4g,indomie 4g,neutral
username,handle,content,time,content,content,neutral
"ida
@isubaidah
·
Jul 16, 2020",,"Aku. 
Mie kuah, aku sajikan sebagai mie goreng :( 

Pantas saja, warnanya pucat dan asin saat dimakan 
Indomie #indomie #mieinstan",2020-07-16T14:44:56.000Z,mie kuah sajikan mie goreng warnanya pucat asin dimakan indomie indomie mieinstan,"noodle soup served with fried noodles, pale in color, salty, eaten with Indomie, Indomie, instant noodles",negative
"aku siapa?
@Anggit79701721
·
Sep 17, 2020",,"Huh,,lega banget yakin bisa keluar rumah:(

#rasanyaanjingbanget #mutualan #ig #kebunteh #kulonprogo #indomie #ootd #MutualanAjaDuluSiapaTauJodoh #Mutualankuy #MutualanAjaDulu #mutualansapataunantijodoh",2020-09-17T01:59:23.000Z,huh lega banget rumah rasanyaanjingbanget mutualan ig kebunteh kulonprogo indomie ootd mutualanajadulusiapataujodoh mutualankuy mutualanajadulu mutualansapataunantijodoh,huh what a relief the house feels like a really dog ​​mutualan ig Kebunteh Kulon Progo Indomie OOTD Mutualanajadulureadyor mate my mutualanjadulu mutualansaporlater mate,positive
"Arema FC
@AremafcOfficial
·
Oct 25, 2020",,"Aremania, #AyoSemangatLagi

Seperti 3 pemain pada gambar, loyalitas mereka untuk Arema FC tak pernah padam. Dari pemain-pemain muda yang saat ini berseragam Arema FC, siapa yang kalian harapkan untuk bisa meneruskan jejak mereka?

#IndofoodxAremaFC #Indomie #AremaFC #SingoEdan",2020-10-25T09:27:19.000Z,aremania ayosemangatlagi 3 pemain gambar loyalitas arema fc padam pemain pemain muda berseragam arema fc harapkan meneruskan jejak indofoodxaremafc indomie aremafc singoedan,aremania let's cheer up again 3 players image of arema fc loyalty extinguished young players in arema fc uniforms hope to continue in the footsteps of indofoodxaremafc indomie aremafc singoedan,positive
"Arema FC
@AremafcOfficial
·
Sep 30, 2020",,"Ayo ikut kuisnya, cek Instagram Arema FC dan dapatkan kesempatan mendapatkan merchandise Arema. 

Kuis ditutup tanggal 7 Oktober dan akan dipilih 7 orang pemenang.

#IndofoodxAremaFC #Indomie #RumahIndofood #AyoSemangatLagi #AremaFC #SingoEdan #SalamSatuJiwa #Aremania",2020-09-30T10:48:23.000Z,ayo kuisnya cek instagram arema fc dapatkan kesempatan merchandise arema kui ditutup tanggal 7 oktober dipilih 7 orang pemenang indofoodxaremafc indomie rumahindofood ayosemangatlagi aremafc singoedan salamsatujiwa aremania,"Come on, the quiz, check Arema FC's Instagram, get the chance for Arema merchandise. The quiz will close on October 7. 7 winners will be selected. Indofood",neutral
"Grizzly
@SuryanataS_R
·
Apr 16, 2020",,"Indomie mau lewat!!!

#wallpaper #Indonesia #foodie #RabuAmbyar #indomie #typography #APRIL #April2020",2020-04-15T17:45:02.000Z,indomie wallpaper indonesia foodie rabuambyar indomie typography april april2020,indomie wallpaper indonesia foodie wednesday ambyar indomie typography april april 2020,neutral
username,handle,content,time,content,content,neutral
"Ujg Suandi A Ltp •.•.•.
@suandy21
·
Jun 14, 2020",,"ga ada tandingan.

#indomie 
#pixel
#pixelart",2020-06-14T03:19:16.000Z,ga tandingan indomie pixel pixelart,no match for Indomie Pixel PixelArt,neutral
"ʚ nathan ɞ
@haiinathan
·
Jul 8, 2020",,Selamat Sarapan!!! #indomie,2020-07-07T19:23:48.000Z,selamat sarapan indomie,Have a good Indomie breakfast,positive
"@nellasari__ns
·
Jun 13, 2020",,"Waktu Indonesia bagian Seleraku 
#indomie 
",2020-06-12T16:52:25.000Z,indonesia seleraku indomie,"Indonesia, my taste is Indomie",neutral
"Es Mony
@enciliarachidis
·
May 31, 2020",,"Hujan Indomie soto kuah susu for the rescue 
#indomie",2020-05-31T12:49:18.000Z,hujan indomie soto kuah susu for the rescue indomie,Indomie rain soto milk sauce for the rescue Indomie,neutral
"Pratama
@pratamacam
·
Jan 22, 2020",,"Indomie Goreng

#magicavoxel #voxel #voxelart #indomie",2020-01-22T03:19:56.000Z,indomie goreng magicavoxel voxel voxelart indomie,fried indomie magicavoxel voxel voxelart indomie,neutral
username,handle,content,time,content,content,neutral
"RahmaBkeluargapanda
@rahmabalci
·
Feb 8, 2020",,"Meng-indonesia-kan bhn masakan yg ada di Turki.krupuk bikin sendiri, bakso ikannya jg, kecap ganti molases,indomi lokal diolah lg. #indomie",2020-02-08T09:18:07.000Z,meng indonesia bhn masakan yg turki krupuk bikin bakso ikannya jg kecap ganti mola indomi lokal diolah lg indomie,meng indonesia turkish cooking ingredients crackers make fish meatballs also soy sauce replace mola indomi locally processed again indomie,neutral
"Imansyah Lubis
@bapakranger
·
Mar 1, 2020",,"Biar kata late post, tetap aja Indomie (Ayam Bawang) bikinan mamang warung itu memang mendekati surga 

(Mie Goreng-nya juga sih )

#Indomie
#IndomieGoreng
#IndomieKuah
#IndomieMieGoreng
#IndomieAyamBawang",2020-03-01T13:57:11.000Z,biar late post aja indomie ayam bawang bikinan mamang warung mendekati surga mie goreng nya sih indomie indomiegoreng indomiekuah indomiemiegoreng indomieayambawang,Let me post it late,negative
"𝓻𝓲𝓼𝓬𝓪𝓷𝓽𝓲𝓴
@riscaaa13
·
Mar 22, 2020",,#minggupagi #dirumahaja #indomie mantapp,2020-03-22T04:34:57.000Z,minggupagi dirumahaja indomie mantapp,Sunday morning just stay at home Indomie great,positive
"Arema FC
@AremafcOfficial
·
Mar 7, 2020",,"Pantang lengah, saatnya teruskan hasil positif!
Hendro dkk siap #SatukanTekadJuang raih 3 poin.

Berapa prediksi skor umak?
Ayo #SatukanTekadJuang bersama 
@indomie
 dukung terus Singo Edan di Liga 1!

#IndofoodxArema #AremaFC #Indomie #SatukanTekadJuang #GorengSemangatmu",2020-03-07T14:21:45.000Z,pantang lengah teruskan hasil positif hendro dkk satukantekadjuang raih 3 poin prediksi skor umak ayo satukantekadjuang indomie dukung singo edan liga 1 indofoodxarema aremafc indomie satukantekadjuang gorengsemangatmu,"Don't be careless, keep up the positive results, Hendro et al. Unite your determination to fight, reach 3 points. Predict the score, come on, Unite your determination to fight, Indomie, support Singo Crazy League 1, Indofood",negative
"Persija Jakarta
@Persija_Jkt
·
Dec 8, 2019",,"Liga 1 belum selesai, masih ada 4 laga tersisa. Bertandang ke  
@BadakLampungFC
 harusnya jadi momentum bagi 
@PersijaJkt
  kembali ke jalur kemenangan.

Ayo Jak, terus #SatukanTekadJuang dukung Persija bersama 
@indomie
!

#IndofoodxPersija #Indomie #PersijaJakarta #GorengSemangatmu",2019-12-08T03:49:28.000Z,liga 1 selesai 4 laga tersisa bertandang badaklampungfc momentum persijajkt jalur kemenangan ayo jak satukantekadjuang dukung persija indomie indofoodxpersija indomie persijajakarta gorengsemangatmu,league 1 finished 4 matches remaining visit badaklampungfc persijajkt momentum winning path come on jak unite determination fight support Persija Indomie Indofoodxpersija Indomie Persijakarta Fried your spirit,positive
username,handle,content,time,content,content,neutral
"Dede
@DedeATR
·
Oct 23, 2019",,"Ulasan singkat: oke  klo untuk dimakan secara occasional, tapi enggak klo untuk dimakan secara reguler. Direkomendasikan untuk para penggemar masakan asin  #Indomie #IndomieMieKeriting #IndomieCurlyFriedNoodleSaltedEgg #IndomieSaltedEgg",2019-10-23T07:14:11.000Z,ulasan singkat oke klo dimakan occasional klo dimakan reguler direkomendasikan penggemar masakan asin indomie indomiemiekeriting indomiecurlyfriednoodlesaltedegg indomiesaltedegg,short review okay if you eat it occasionally if you eat it regularly recommended for fans of salty food Indomie Indomiemiecurly Indomiecurlyfriednoodlesaltedegg Indomiesaltedegg,positive
"mymoo
@nunaamooo
·
Oct 21, 2019",,"Makan mewah alla receh
#indomie 
 #RecehinTwitter
#SoalEnak 
#Seleraku",2019-10-20T16:09:44.000Z,makan mewah alla receh indomie recehintwitter soalenak seleraku,luxurious dining in the style of Indomie dime twitter because it's my taste,neutral
"IndSky
@AlfadjarDwi
·
Nov 12, 2019",,"Ga nyesel gua tuh makan yg beginian
#indomie 
#bacotsantuy",2019-11-11T23:17:35.000Z,ga nyesel gua tuh makan yg indomie bacotsantuy,I don't regret eating the Indomie bacotsantuy,neutral
