full_text,time,cleaned_tweet,sentiment,textblob_sentiment
"Pondasihh brohh!!

#Indomie #CaffeLatte #Coffee #SahabatBlueSky #BlueskyloungeID #BlueskyGroup #APTPranoto #Lounge #AjiPangeranTumenggungPranoto #Samarinda #KalimantanTimur",2022-08-14T04:22:55.000Z,pondasihh brohh indomie caffelatte coffee sahabatbluesky blueskyloungeid blueskygroup aptpranoto lounge ajipangerantumenggungpranoto samarinda kalimantantimur,positive,neutral
"Gimana deh ini, kan bumbunya acak acakan ga nyisa:( 
@indofood
 #indomie #indomiegoreng",2022-11-20T12:49:03.000Z,gimana deh bumbunya acak acakan ga nyisa indofood indomie indomiegoreng,positive,neutral
Buat #indomie #rebus #kariayam sekalian nonton #whorulestheworld ,2022-05-27T19:05:23.000Z,indomie rebus kariayam nonton whorulestheworld,neutral,neutral
"Review #indomie rasa Kaldu Udang. 

Verdict : Ok lah. 

Ini varian Indomie yang rasanya simple. Seperti rasa Kaldu Ayam. Di dalam bungkusnya juga cuma ada bumbu kaldu dan cabai bubuk. Rasanya ya rasa kaldu, ada hint dashi sedikit kalo susah carinya, bikin yang kaldu ayam aja",2022-02-28T00:38:22.000Z,review indomie kaldu udang verdict ok varian indomie simple kaldu ayam bungkusnya bumbu kaldu cabai bubuk ya kaldu hint dashi kalo susah carinya bikin kaldu ayam aja,positive,positive
content,time,content,neutral,neutral
"LUAR BIASA! Terima kasih atas antusiasme Aremania untuk dukung Singo Edan secara langsung di stadion pada Piala Presiden kali ini.

Terus semangat dukung Arema FC bareng Indomie!

#IndofoodxAremaFC #Indomie #AremaFC #SingoEdan #SalamSatuJiwa #Aremania #RasanyaPopMarkopop",2022-06-18T11:39:10.000Z,terima kasih antusiasme aremania dukung singo edan langsung stadion piala presiden kali semangat dukung arema fc bareng indomie indofoodxaremafc indomie aremafc singoedan salamsatujiwa aremania rasanyapopmarkopop,positive,neutral
Kenapa harus laper jam segini wahai perut.. #indomie,2022-05-09T16:29:46.000Z,laper jam segini perut indomie,neutral,neutral
"Sambil siapin dukungan buat Singo Edan besok Sabtu, admin mau share nih info paling ngepop! Aremania udah pada nyobain belum varian rasa yang terbaru dari Indomie yaitu Indomie Goreng rasa Ayam Pop?

Terus semangat dukung Arema FC bareng Indomie ya!

#IndofoodxAremaFC #Indomie",2022-06-29T11:22:10.000Z,siapin dukungan singo edan besok sabtu admin share nih info ngepop aremania udah nyobain varian terbaru indomie indomie goreng ayam pop semangat dukung arema fc bareng indomie ya indofoodxaremafc indomie,positive,neutral
"Team gak diaduk garis keras
#indomie",2022-02-08T15:53:43.000Z,team gak diaduk gari kera indomie,neutral,neutral
#Indomie adalah pilihan saat kita tidak bisa memilih!,2021-10-18T12:32:55.000Z,indomie pilihan memilih,positive,neutral
content,time,content,neutral,neutral
"Saatnya kembali ke jalur kemenangan!

Nonton Arema FC dari rumah pastinya makin mantap ditemani Indomie goreng. Aroma dan rasa lezatnya pasti #SiapIsiSemangatmu!

Terus dukung Singo Edan bareng Indomie!

#IndofoodxAremaFC #Indomie #AremaFC #SingoEdan #SalamSatuJiwa #Aremania",2021-10-31T11:00:59.000Z,jalur kemenangan nonton arema fc rumah pastinya mantap ditemani indomie goreng aroma lezatnya siapisisemangatmu dukung singo edan bareng indomie indofoodxaremafc indomie aremafc singoedan salamsatujiwa aremania,positive,neutral
Pls lewat tl orang2 yg lg begadang #emi #indomie,2021-10-20T16:52:37.000Z,pls tl orang2 yg lg begadang emi indomie,neutral,neutral
"Lanjutkan momentum positif! Hadapi Persija, Singo Edan bidik 3 poin demi terus berada di puncak klasemen.

Biar makin semangat dukung Arema FC, ikutan Tebak Skor yuk bareng Indomie. Selengkapnya di akun Instagram Arema FC.

#IndofoodxAremaFC #Indomie #AremaFC #SingoEdan",2022-02-04T13:15:05.000Z,lanjutkan momentum positif hadapi persija singo edan bidik 3 poin puncak klasemen biar semangat dukung arema fc ikutan tebak skor yuk bareng indomie selengkapnya akun instagram arema fc indofoodxaremafc indomie aremafc singoedan,positive,neutral
"Bias kami ulang tahun tgl 22, salah satu kado dr kami adalah Indomie basket #SongHyeKyo #indomie 
@Indomielovers


Pic : cto",2021-11-19T04:50:25.000Z,bias ulang tgl 22 salah kado dr indomie basket songhyekyo indomie indomielovers pic cto,negative,neutral
"Bakmi Goreng Bulgogi dari Bakmi Mewah vs Mieghetti Rasa Bolognese dari Indomie...

Mana yang lebih enak?

#indomie #bakmimewah #migoreng #miegoreng #mieinstan #bakmigoreng #bulgogi #spaghetti #bolognese",2021-02-25T14:11:06.000Z,bakmi goreng bulgogi bakmi mewah v mieghetti bolognese indomie enak indomie bakmimewah migoreng miegoreng mieinstan bakmigoreng bulgogi spaghetti bolognese,positive,neutral
Yg lain lagi rame #BTSMeal saya cuma makan #indomie,2021-06-09T12:30:06.000Z,yg rame btsmeal makan indomie,neutral,neutral
content,time,content,neutral,neutral
"Aremania, kali ini admin bareng 
@Indomielovers
 mau share satu fakta yg #HypeAbis nih. siapa yang kenal dengan istilah ambipedal? 

#IndofoodxAremaFC #Indomie #AremaFC #SingoEdan #SalamSatuJiwa #Aremania",2021-07-06T11:08:16.000Z,aremania kali admin bareng indomielovers share fakta yg hypeabis nih kenal istilah ambipedal indofoodxaremafc indomie aremafc singoedan salamsatujiwa aremania,negative,neutral
"Baru nyobain Indomie yang rasa Spaghetti  Mayan juga rasanya, tapi sayang, rasa pedas nya terlalu berlebihan euy...  #MieGhetti #Indomie",2021-04-09T18:03:30.000Z,nyobain indomie spaghetti mayan sayang pedas nya euy mieghetti indomie,positive,neutral
"Lembayung dikala itu, Indomie Seleraku~ 

#photooftheday #bandung #parisjvanjava #pasupati #grandiahotel #cihampelas #flyover #lembayung #senja #indomie #anime #backgroundanime #landscape #viewbandung #bandungkota #hotel #バンドン #ホテル #アニメスタイル #アニメ #景色",2021-04-06T06:23:20.000Z,lembayung dikala indomie seleraku photooftheday bandung parisjvanjava pasupati grandiahotel cihampelas flyover lembayung senja indomie anime backgroundanime landscape viewbandung bandungkota hotel バンドン ホテル アニメスタイル アニメ 景色,positive,neutral
Mie Goreng #indomie #indonesian,2021-04-21T11:07:31.000Z,mie goreng indomie indonesian,negative,neutral
"#INDOMIE : satu ga cukup, dua ga abis",2020-12-10T16:32:26.000Z,indomie ga ga abis,neutral,neutral
"Kabar duka. Telah berpulang ke Rahmatullah, Ibu Nunuk Nuraini, penemu rasa Indomie pagi tadi, Rabu 27 Januari 2021. 

Mari kita doakan semoga almarhumah husnul khotimah 

Sumber twitter 
@lailadimyati


#minrol #kabarduka #indomie #mieinstan",2021-01-27T12:30:18.000Z,kabar duka berpulang rahmatullah nunuk nuraini penemu indomie pagi rabu 27 januari 2021 mari doakan semoga almarhumah husnul khotimah sumber twitter lailadimyati minrol kabarduka indomie mieinstan,positive,neutral
content,time,content,neutral,neutral
"Bangkit Melawan Corona ! 
@S1H_Slemania
 

#muralcompetitionslemania 
#slemania20th 
#roadtoanniversaryslemania 
#bangkitmelawanpandemi 
#salamsatuhati 
#IndofoodXSlemania 
#PSSleman 
#RumahIndofood
#Indomie 
#Indomilk",2020-12-18T11:10:30.000Z,bangkit melawan corona s1h_slemania muralcompetitionslemania slemania20th roadtoanniversaryslemania bangkitmelawanpandemi salamsatuhati indofoodxslemania pssleman rumahindofood indomie indomilk,positive,neutral
"Telah berpulang ibu Hj. Nunuk Nuraini, peracik bumbu Indomie

Kami semua berterimakash atas karyamu selama ini, yang membahagiakan meski di saat paling sulit sekalipun

Selamat jalan bu Nunuk, jasamu tak akan kami lupakan, di hati dan di lidah 

#indomie",2021-01-28T02:16:14.000Z,berpulang hj nunuk nuraini peracik bumbu indomie berterimakash karyamu membahagiakan sulit selamat jalan bu nunuk jasamu lupakan hati lidah indomie,positive,neutral
"Rasa baru nih kayanya dari indomie tercinta.

#indomie",2021-01-30T06:20:27.000Z,nih kayanya indomie tercinta indomie,positive,neutral
Indomie campur kornet buat anak Gunung hukumnya sahih. Terima kasih #Indomie dan ibu Nunuk.,2021-01-28T07:34:19.000Z,indomie campur kornet anak gunung hukumnya sahih terima kasih indomie nunuk,positive,neutral
Karawang gerimis. Kode #indomie,2020-08-20T10:57:56.000Z,karawang gerimis kode indomie,negative,neutral
#indomie Rasa 4G,2020-07-11T09:57:34.000Z,indomie 4g,neutral,neutral
content,time,content,neutral,neutral
"Aku. 
Mie kuah, aku sajikan sebagai mie goreng :( 

Pantas saja, warnanya pucat dan asin saat dimakan 
Indomie #indomie #mieinstan",2020-07-16T14:44:56.000Z,mie kuah sajikan mie goreng warnanya pucat asin dimakan indomie indomie mieinstan,negative,neutral
"Huh,,lega banget yakin bisa keluar rumah:(

#rasanyaanjingbanget #mutualan #ig #kebunteh #kulonprogo #indomie #ootd #MutualanAjaDuluSiapaTauJodoh #Mutualankuy #MutualanAjaDulu #mutualansapataunantijodoh",2020-09-17T01:59:23.000Z,huh lega banget rumah rasanyaanjingbanget mutualan ig kebunteh kulonprogo indomie ootd mutualanajadulusiapataujodoh mutualankuy mutualanajadulu mutualansapataunantijodoh,positive,neutral
"Aremania, #AyoSemangatLagi

Seperti 3 pemain pada gambar, loyalitas mereka untuk Arema FC tak pernah padam. Dari pemain-pemain muda yang saat ini berseragam Arema FC, siapa yang kalian harapkan untuk bisa meneruskan jejak mereka?

#IndofoodxAremaFC #Indomie #AremaFC #SingoEdan",2020-10-25T09:27:19.000Z,aremania ayosemangatlagi 3 pemain gambar loyalitas arema fc padam pemain pemain muda berseragam arema fc harapkan meneruskan jejak indofoodxaremafc indomie aremafc singoedan,positive,neutral
"Ayo ikut kuisnya, cek Instagram Arema FC dan dapatkan kesempatan mendapatkan merchandise Arema. 

Kuis ditutup tanggal 7 Oktober dan akan dipilih 7 orang pemenang.

#IndofoodxAremaFC #Indomie #RumahIndofood #AyoSemangatLagi #AremaFC #SingoEdan #SalamSatuJiwa #Aremania",2020-09-30T10:48:23.000Z,ayo kuisnya cek instagram arema fc dapatkan kesempatan merchandise arema kui ditutup tanggal 7 oktober dipilih 7 orang pemenang indofoodxaremafc indomie rumahindofood ayosemangatlagi aremafc singoedan salamsatujiwa aremania,positive,neutral
"Indomie mau lewat!!!

#wallpaper #Indonesia #foodie #RabuAmbyar #indomie #typography #APRIL #April2020",2020-04-15T17:45:02.000Z,indomie wallpaper indonesia foodie rabuambyar indomie typography april april2020,neutral,neutral
content,time,content,neutral,neutral
"ga ada tandingan.

#indomie 
#pixel
#pixelart",2020-06-14T03:19:16.000Z,ga tandingan indomie pixel pixelart,neutral,neutral
Selamat Sarapan!!! #indomie,2020-07-07T19:23:48.000Z,selamat sarapan indomie,positive,neutral
"Waktu Indonesia bagian Seleraku 
#indomie 
",2020-06-12T16:52:25.000Z,indonesia seleraku indomie,positive,neutral
"Hujan Indomie soto kuah susu for the rescue 
#indomie",2020-05-31T12:49:18.000Z,hujan indomie soto kuah susu for the rescue indomie,neutral,neutral
"Indomie Goreng

#magicavoxel #voxel #voxelart #indomie",2020-01-22T03:19:56.000Z,indomie goreng magicavoxel voxel voxelart indomie,negative,neutral
content,time,content,neutral,neutral
"Meng-indonesia-kan bhn masakan yg ada di Turki.krupuk bikin sendiri, bakso ikannya jg, kecap ganti molases,indomi lokal diolah lg. #indomie",2020-02-08T09:18:07.000Z,meng indonesia bhn masakan yg turki krupuk bikin bakso ikannya jg kecap ganti mola indomi lokal diolah lg indomie,neutral,neutral
"Biar kata late post, tetap aja Indomie (Ayam Bawang) bikinan mamang warung itu memang mendekati surga 

(Mie Goreng-nya juga sih )

#Indomie
#IndomieGoreng
#IndomieKuah
#IndomieMieGoreng
#IndomieAyamBawang",2020-03-01T13:57:11.000Z,biar late post aja indomie ayam bawang bikinan mamang warung mendekati surga mie goreng nya sih indomie indomiegoreng indomiekuah indomiemiegoreng indomieayambawang,positive,negative
#minggupagi #dirumahaja #indomie mantapp,2020-03-22T04:34:57.000Z,minggupagi dirumahaja indomie mantapp,neutral,neutral
"Pantang lengah, saatnya teruskan hasil positif!
Hendro dkk siap #SatukanTekadJuang raih 3 poin.

Berapa prediksi skor umak?
Ayo #SatukanTekadJuang bersama 
@indomie
 dukung terus Singo Edan di Liga 1!

#IndofoodxArema #AremaFC #Indomie #SatukanTekadJuang #GorengSemangatmu",2020-03-07T14:21:45.000Z,pantang lengah teruskan hasil positif hendro dkk satukantekadjuang raih 3 poin prediksi skor umak ayo satukantekadjuang indomie dukung singo edan liga 1 indofoodxarema aremafc indomie satukantekadjuang gorengsemangatmu,positive,neutral
"Liga 1 belum selesai, masih ada 4 laga tersisa. Bertandang ke  
@BadakLampungFC
 harusnya jadi momentum bagi 
@PersijaJkt
  kembali ke jalur kemenangan.

Ayo Jak, terus #SatukanTekadJuang dukung Persija bersama 
@indomie
!

#IndofoodxPersija #Indomie #PersijaJakarta #GorengSemangatmu",2019-12-08T03:49:28.000Z,liga 1 selesai 4 laga tersisa bertandang badaklampungfc momentum persijajkt jalur kemenangan ayo jak satukantekadjuang dukung persija indomie indofoodxpersija indomie persijajakarta gorengsemangatmu,positive,neutral
content,time,content,neutral,neutral
"Ulasan singkat: oke  klo untuk dimakan secara occasional, tapi enggak klo untuk dimakan secara reguler. Direkomendasikan untuk para penggemar masakan asin  #Indomie #IndomieMieKeriting #IndomieCurlyFriedNoodleSaltedEgg #IndomieSaltedEgg",2019-10-23T07:14:11.000Z,ulasan singkat oke klo dimakan occasional klo dimakan reguler direkomendasikan penggemar masakan asin indomie indomiemiekeriting indomiecurlyfriednoodlesaltedegg indomiesaltedegg,positive,neutral
"Makan mewah alla receh
#indomie 
 #RecehinTwitter
#SoalEnak 
#Seleraku",2019-10-20T16:09:44.000Z,makan mewah alla receh indomie recehintwitter soalenak seleraku,positive,neutral
"Ga nyesel gua tuh makan yg beginian
#indomie 
#bacotsantuy",2019-11-11T23:17:35.000Z,ga nyesel gua tuh makan yg indomie bacotsantuy,negative,neutral
"Indomie Goreng Nyemek . 
Menu andalan warkop kami, yuk yang penasaran :
Jl Pengasinan Rawa Lumbu Bekasi 
#indomie #indomiegoreng #nyemek #bekasi",2019-10-25T11:43:50.000Z,indomie goreng nyemek menu andalan warkop yuk penasaran jl pengasinan rawa lumbu bekasi indomie indomiegoreng nyemek bekasi,positive,neutral
Hery menyerah..... #indomie teman kencan malam ini ,2019-06-25T18:24:47.000Z,hery menyerah indomie teman kencan malam,negative,neutral
"Selangkah lagi!
Persija Jakarta siap menyabet trofi Piala Indonesia.

Ayo #SatukanTekadJuang tampil SANGAR di laga BESAR !

Supported by 
@Indomielovers
 

#IndofoodxPersija #Indomie #PersijaJakarta #gorengsemangatmu #pialaindonesia",2019-07-27T06:01:55.000Z,selangkah persija jakarta menyabet trofi piala indonesia ayo satukantekadjuang tampil sangar laga supported by indomielovers indofoodxpersija indomie persijajakarta gorengsemangatmu pialaindonesia,positive,neutral
content,time,content,neutral,neutral
"Akhir pekan ini, Persija akan melakoni pekan ke-5 Liga 1
 
Bertandang ke markas Persela Lamongan, Macan Kemayoran siap berjuang habis-habisan.
 
Semangat Penuh & Terus #SatukanTekadJuang bersama 
@Indomielovers
 
 
#IndofoodxPersija #Indomie #Liga1 #PersijaJakarta #GorengSemangatmu",2019-06-21T06:58:54.000Z,pekan persija melakoni pekan 5 liga 1 bertandang markas persela lamongan macan kemayoran berjuang habis habisan semangat penuh satukantekadjuang indomielovers indofoodxpersija indomie liga1 persijajakarta gorengsemangatmu,positive,neutral
"Yg gw suka dr kota #jogja adalah #warmindo yg tersebar dimana2
Dan gw bs makan menu favorit gw sepuasnya..
Nasi Sarden + #indomie goreng

Kalo lo apa yg makanan favoritnya kl ke Jogja?",2019-06-07T17:47:48.000Z,yg gw suka dr kota jogja warmindo yg tersebar dimana2 gw b makan menu favorit gw sepuasnya nasi sarden indomie goreng kalo lo yg makanan favoritnya kl jogja,positive,neutral
"Menu berbuka puasa ke-6 kali ini,;
Ada makanan yg tidak perku diragukan lagi rasanya di kalangan anak kos..
#Indomie ",2019-05-11T11:32:32.000Z,menu berbuka puasa 6 kali makanan yg perku diragukan kalangan anak ko indomie,positive,neutral
"Ikutan juga #SetorFoto om 
@piokharisma
 

Ada foto lama jaman iphone 6 
Ngeditnya pake quickshot.
Latihan motret makanan ..
hiburan diri sendiri kalo motret masakan sendiri 

Anak kosan selalu nyetok indomie..
#indomie",2019-06-15T11:03:50.000Z,ikutan setorfoto om piokharisma foto jaman iphone 6 ngeditnya pake quickshot latihan motret makanan hiburan kalo motret masakan anak kosan nyetok indomie indomie,positive,neutral
"Selamat Datang 
@Indomielovers
 di keluarga Persija musim ini!
_
#PersijaxIndomie
#Indomie
#PersijaJakarta
#PersijaSelamanya",2019-01-17T09:19:43.000Z,selamat indomielovers keluarga persija musim _ persijaxindomie indomie persijajakarta persijaselamanya,positive,neutral
Ujan2 #indomie emg juara,2019-02-05T09:29:04.000Z,ujan2 indomie emg juara,positive,neutral
content,time,content,neutral,neutral
"Indomie dan PSS kembali menjalin kerja sama sampai tahun 2020.
Selamat datang kembali Indomie di keluarga Super Elja.

@Indomielovers

#PSSleman #COSE #Indomie",2019-02-20T04:48:13.000Z,indomie ps menjalin kerja 2020 selamat indomie keluarga super elja indomielovers pssleman cose indomie,positive,positive
"Kerjasama baru terjalin antara Persija Jakarta dengan Indofood melalui produk Indomie 

#persija
#jakmania
#jakonline
#guepersija
#BanggaJakmania
#indofood
#indomie",2019-01-17T06:43:48.000Z,kerjasama terjalin persija jakarta indofood produk indomie persija jakmania jakonline guepersija banggajakmania indofood indomie,positive,neutral
"Sebelum atau sesudah flight , kalau kalian laper bisa banget loh mampir ke Upnormal Coffee Roaster by 
@warunk_upnormal
 yang ada di Bandara Husein Sastranegara.
#upnormalcoffeeroster
#coffee
#bandung
#warunkupnormal
#sieko
#indomie",2018-07-25T05:07:11.000Z,flight laper banget loh mampir upnormal coffee roaster by warunk_upnormal bandara husein sastranegara upnormalcoffeeroster coffee bandung warunkupnormal sieko indomie,neutral,neutral
"Keseruan 
@Indomielovers
 Goes to School bersama dua punggawa PSS, Arie Sandy dan Asyraq Gufron di SMP N 1 Pakem. #PSSleman #Indomie",2018-11-17T05:50:25.000Z,keseruan indomielovers go to school punggawa ps arie sandy asyraq gufron smp n 1 pakem pssleman indomie,neutral,neutral
Seminggu ini full #indomie Marathon wkwk.,2018-07-21T18:14:27.000Z,seminggu full indomie marathon wkwk,neutral,positive
Jadi kalian pilih tim yang mana? Indomie / Mie Sedap ?? #AskNetizen #Indomie #MieSedaap,2018-06-22T11:50:44.000Z,pilih tim indomie mie sedap asknetizen indomie miesedaap,negative,neutral
content,time,content,neutral,neutral
Dimanapun tetep #indomie,2018-06-02T14:02:54.000Z,dimanapun tetep indomie,positive,neutral
Drama Korea Indomie Rasa Soto Lamongan. #Indomaret #Indomie,2018-06-04T02:52:15.000Z,drama korea indomie soto lamongan indomaret indomie,neutral,neutral
"Selamat pagi 
#sunnysideup #runnyegg #indomie #foodporn http://ift.tt/2o3nuap",2018-02-15T17:14:03.000Z,selamat pagi sunnysideup runnyegg indomie foodporn,positive,neutral
"Kayaknya bakal ada es kepal indomie goreng rendang bentar lagi ini

#indomie #recehkantwiter",2018-06-19T08:20:29.000Z,kayaknya e kepal indomie goreng rendang bentar indomie recehkantwiter,positive,neutral
Hujan! Saatnya masak... #indomie,2017-09-29T13:51:19.000Z,hujan masak indomie,neutral,neutral
"#indomiejadoel edisi ulangtahun #indomie ke 45 isi 5 dgn 3 kemasan : indomie kaldu ayam (1972), kari ayam (1982) & mi goreng (1982)",2017-08-07T14:30:32.000Z,indomiejadoel edisi ulangtahun indomie 45 isi 5 dgn 3 kemasan indomie kaldu ayam 1972 kari ayam 1982 mi goreng 1982,positive,neutral
content,time,content,neutral,neutral
"Buat kamu-kamu yang suka pedasnya sambal #Taichan, mesti cobain nih martabak telor, #bakso ceker dan #indomie taichan. Bisa dipesan via GoFood eaaaa!",2017-12-21T11:38:29.000Z,suka pedasnya sambal taichan mesti cobain nih martabak telor bakso ceker indomie taichan dipesan via gofood eaaaa,negative,neutral
#nahini nyampur mengenyangkan #indomie #superbihun #kwetiaugoreng #mieinstant #miegoreng,2017-07-13T14:29:09.000Z,nahini nyampur mengenyangkan indomie superbihun kwetiaugoreng mieinstant miegoreng,positive,neutral
"Biar ga gila beneran nyoba mie gila dlu !!!.. Nih korban mie gilak malam ini #Indomie #MieGilak #MieSetan 
@rizkan_nurse",2018-02-03T14:16:24.000Z,biar ga gila beneran nyoba mie gila dlu nih korban mie gilak malam indomie miegilak miesetan rizkan_nurse,negative,neutral
"Yang suka indomie pasti udah tau la ya ini dimana. Kalau belum, coba tanya sama teman kamu yang suka indomie juga 

#Medanfoodblog #Indomie",2017-07-06T16:43:37.000Z,suka indomie udah tau la ya dimana coba teman suka indomie medanfoodblog indomie,positive,neutral
"Tim Indomie Goreng Rendang 1 kurang, 2 kenyang. #Indomie #indomiegoreng",2017-05-22T03:20:29.000Z,tim indomie goreng rendang 1 2 kenyang indomie indomiegoreng,negative,neutral
Penyelamat disaat malam datang.. #Indomie ,2017-01-12T14:51:35.000Z,penyelamat disaat malam indomie,positive,neutral
content,time,content,neutral,neutral
"Pake bumbu doang aja udah enak, apalagi dibuat lengkap gini ada telur, kerupuk, dan cabai rawit.

#Medanfoodblog #Indomie #IndomieGoreng",2017-07-01T12:50:14.000Z,pake bumbu doang aja udah enak lengkap gini telur kerupuk cabai rawit medanfoodblog indomie indomiegoreng,positive,neutral
#Indomie seleraku! ,2017-02-02T08:42:14.000Z,indomie seleraku,positive,neutral
Apakah aku harus berubah jadi #indomie biar bisa jadi seleramu?.,2016-09-16T02:43:18.000Z,berubah indomie biar seleramu,neutral,neutral
"Njirrr tengah malam gini laper!!!
#Indomie",2017-01-30T17:42:59.000Z,njirrr malam gini laper indomie,neutral,neutral
"#Indomie Tempati Urutan Delapan Dunia, Makanan Yang Sering Dikonsumsi - http://hargo.co.id/berita/indomie-tempati-urutan-delapan-dunia-makanan-yang-sering-dikonsumsi.html…",2017-06-03T01:02:10.000Z,indomie tempati urutan delapan dunia makanan dikonsumsi,positive,neutral
"TVC Indomie "" Susah Duduk Santai "".
#indomie #indomieseleraku #indomiekuah #tvc #iklan #model… https://instagram.com/p/BPiG3YjBwOH/",2017-01-21T16:21:22.000Z,tvc indomie susah duduk santai indomie indomieseleraku indomiekuah tvc iklan model,positive,neutral
"Cobain 12 variasi indomie kekinian anti mainstream nya 
@dcubeshp
 kak.. Dijamin ajegile deh :) #indomie #ngehits",2016-05-09T08:14:48.000Z,cobain 12 variasi indomie kekinian anti mainstream nya dcubeshp kak dijamin ajegile deh indomie ngehits,positive,neutral
Sarapan #indomie didampingi susu...,2016-09-07T02:00:34.000Z,sarapan indomie didampingi susu,negative,neutral
