tweet,predicted_sentiment
"Ȋ̝̊̅ wan eat oh""
@Meez_TakenID
: #indomie tins""",positive
content,neutral
content,neutral
"setelah aku makan indomie, perutku langsung sakit2, ternyata aku
masukin saus 1 botol smpe abis, ini ceritaku
apa ceritamu? #indomie",neutral
"kai! ai bari kawai RT @DadiRimez: ""
@DatAfricanKid
: na gode maza RT DadiRimez:  #Indomie"" » Sun iya ne?",positive
content,neutral
"Sahur hari ini sendiri, si emak smalem bilang kalo mau sahur ada #indomie di lemari. Ini ceritaku, apa ceritamu?",positive
"Pantang lengah, saatnya teruskan hasil positif!
Hendro dkk siap #SatukanTekadJuang raih 3 poin.

Berapa prediksi skor umak?
Ayo #SatukanTekadJuang bersama 
@indomie
 dukung terus Singo Edan di Liga 1!

#IndofoodxArema #AremaFC #Indomie #SatukanTekadJuang #GorengSemangatmu",positive
content,neutral
"Akhir pekan ini, Persija akan melakoni pekan ke-5 Liga 1
 
Bertandang ke markas Persela Lamongan, Macan Kemayoran siap berjuang habis-habisan.
 
Semangat Penuh & Terus #SatukanTekadJuang bersama 
@Indomielovers
 
 
#IndofoodxPersija #Indomie #Liga1 #PersijaJakarta #GorengSemangatmu",positive
